5523,5525,3416,3714,4820,3522,5713,6957,3139,3926,5376,4183,4400,5639,4696,4402,4972,5637,3211,4518,5299,5083,4812,6816,6901,4912,5600,6629,5213,7584,5216,5315,5314,5316,5317,5815,5318,5879,6028,2477,6030,6322,5880,6042,5712,3954,4927,5353,5946,6242,6508,4913,5771,5903,7774,6078,5890,5891,5979,5714,5942,5981,6040,6116,6041,3753,4432,4434,5455,7680,7712,4813,5451,6131,5312,6129,6844,5655,6178,6176,5945,5149,7042,4926,5599,5602,5394,6074,3713,5379,5885,5377,5297,7374,7531,6091,3835,5332,5546,5769,6093,6191,6193,6194,6245,5834,6277,6333,6337,6027,5240,5239,7295,7721,5833,6029,5509,7142,6134,6179,7076,7146,6290,7787,6323,5991,7786,5989,7823,6130,6132,6321,6287,6075,5768,5957,6058,6255,6256,5958,6076,4436,6331,6845,6037,6077,6186,6188,6243,6429
2,2,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,2,1,1,1,2,1,4,1,0,0,0,2,1,1,1,0,0,1,1,0,2,1,2,1,1,0,1,1,0,0,1,3,1,1,0,1,0,1,1,2,1,1,0,0,0,2,2,2,1,1,1,0,0,2,2,2,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,2,1,0,1,0,1,1,0,2,1,0,1,0,1,1,0,0,1,4,3,1,1,1,3,1,0,2,3,1,5,1,0,3,1,7,1,1,0,1,0,1,1,0,2,1,2,0,0,0,3,2,1,1,0,2,0
2,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,1,0,0,1,2,0,1,0,0,0,1,1,2,1,0,1,0,1,1,1,0,1,2,4,2,1,0,0,0,0,1,1,1,0,0,0,0,3,1,2,0,0,1,0,0,2,2,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,2,1,0,0,0,0,0,0,1,2,0,1,0,2,4,1,0,1,3,2,0,2,2,2,4,0,1,5,1,6,1,1,0,0,0,0,2,1,1,0,1,1,0,0,2,2,1,1,0,2,0
2,1,0,0,0,1,1,2,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,2,0,0,2,0,2,2,0,1,1,0,1,0,0,1,0,1,0,2,1,1,0,0,0,0,2,0,0,0,1,3,1,1,0,1,0,1,1,2,0,1,0,1,1,3,2,1,1,1,2,0,1,2,1,0,0,0,0,1,2,0,1,1,0,0,1,2,1,0,3,1,2,0,1,1,1,1,1,0,1,0,0,0,2,1,0,0,0,3,3,0,1,0,3,2,0,3,3,1,4,1,1,6,1,3,0,1,1,1,0,0,1,1,2,0,2,0,0,0,4,2,2,2,1,2,1
2,1,1,1,2,2,0,3,0,1,1,0,1,2,0,1,2,0,0,0,0,1,1,2,4,0,2,2,0,3,1,1,2,1,1,3,1,1,1,0,1,2,2,0,2,0,1,0,1,2,1,2,1,0,6,1,1,0,1,1,1,2,3,0,3,0,1,1,5,4,4,1,1,2,0,2,4,3,0,1,1,0,1,3,2,1,0,2,1,1,8,3,1,4,7,2,0,1,1,0,2,2,1,2,1,6,3,3,1,1,1,2,4,4,0,2,2,6,1,0,2,4,2,7,2,3,7,4,8,2,2,1,4,2,1,2,2,2,1,2,2,1,4,6,4,2,4,1,2,2
4,4,1,1,2,4,1,3,0,4,5,0,3,3,3,1,4,0,0,1,3,3,1,5,4,0,3,5,4,8,6,3,3,3,1,8,1,2,1,0,4,2,3,2,5,0,2,2,5,4,3,7,3,0,17,7,4,2,2,3,5,5,5,4,6,1,6,4,3,6,8,2,3,1,2,1,14,5,2,0,1,3,4,7,6,5,1,2,2,4,16,4,3,11,16,5,6,1,2,2,2,5,3,6,2,12,6,3,2,1,1,2,4,3,1,3,4,14,4,2,5,6,5,8,0,8,8,10,13,4,16,4,7,4,3,7,5,3,4,3,3,2,6,8,9,3,4,1,4,3
4,5,2,1,3,4,3,7,0,9,9,0,1,6,6,4,4,2,1,3,7,5,3,8,6,0,5,8,4,16,6,4,4,4,2,14,3,3,2,0,3,1,4,4,9,0,3,2,9,3,4,7,4,1,18,12,5,2,5,5,5,7,7,7,10,2,5,5,4,6,10,3,3,3,3,3,15,5,4,1,4,4,5,11,7,7,2,2,2,4,15,4,6,9,17,10,10,3,5,4,4,4,5,6,2,15,15,4,4,3,2,3,7,6,1,4,6,20,5,3,7,11,5,9,3,11,10,15,10,7,7,6,9,6,4,12,3,3,7,3,5,1,8,9,10,5,4,2,5,5
5,5,3,0,6,3,6,9,0,12,7,1,3,5,7,4,5,3,2,2,7,5,4,9,7,1,6,11,6,17,9,3,3,7,2,14,0,6,1,2,3,2,3,4,9,1,4,2,9,3,5,9,4,3,19,8,7,4,5,4,6,5,10,8,12,2,3,5,5,6,16,3,3,4,2,6,14,8,5,2,5,3,3,11,8,7,2,3,1,4,21,5,5,11,15,7,15,3,7,3,5,4,7,13,4,15,14,4,4,6,3,4,6,8,1,7,7,21,6,6,8,10,4,8,2,12,13,14,10,9,9,5,12,3,4,7,4,4,6,3,6,1,8,7,10,6,3,2,5,8
6,6,2,1,4,4,3,12,0,16,7,0,4,6,7,5,9,2,1,1,8,8,2,7,8,1,6,12,11,23,10,6,5,6,2,14,4,10,3,3,6,3,5,4,7,0,3,2,9,2,3,5,3,3,20,12,6,2,5,4,7,8,10,8,14,4,5,6,5,5,12,3,4,4,2,5,12,7,3,3,5,1,5,10,8,5,2,4,2,4,16,6,6,10,17,8,16,3,7,5,4,4,10,12,2,14,18,5,4,6,4,3,10,7,1,4,5,16,7,6,9,9,4,9,4,12,15,13,11,4,12,6,10,4,6,6,4,4,7,2,7,2,7,5,11,3,2,3,4,7
9,6,2,1,6,3,5,15,1,12,7,0,6,7,3,6,8,2,1,1,8,10,3,6,5,0,7,10,10,27,12,6,5,4,3,15,2,6,3,3,6,3,5,6,8,0,2,3,9,2,3,7,3,5,19,10,10,3,5,6,6,7,10,9,16,3,4,6,4,4,12,2,2,2,1,4,13,5,4,2,4,3,3,10,9,6,2,4,2,4,16,3,7,8,18,5,10,2,6,4,5,6,10,16,2,15,21,6,5,3,5,2,11,7,2,2,4,14,4,6,6,9,4,7,2,10,16,11,12,6,12,6,10,4,4,6,4,6,8,2,5,1,8,6,11,4,4,2,5,5
7,7,3,1,5,1,3,19,0,9,7,1,5,6,3,7,8,2,1,2,10,14,3,8,5,2,3,13,7,23,10,5,6,7,2,13,3,6,3,2,5,5,5,8,7,0,1,2,11,2,3,7,4,8,24,11,7,3,6,6,5,7,10,8,15,2,5,7,6,3,10,2,2,3,2,4,11,9,4,3,2,1,3,11,5,5,2,4,2,3,21,3,7,11,15,6,5,2,5,5,6,6,7,15,2,18,19,7,4,5,2,3,10,8,1,3,5,15,7,4,6,11,5,9,5,10,12,13,11,6,9,10,14,4,4,6,6,5,8,2,7,2,8,5,12,5,4,2,4,5
5,6,2,0,4,3,4,16,0,12,9,1,3,5,3,6,6,2,0,3,9,11,3,8,6,2,4,8,7,24,8,8,6,7,3,13,5,5,3,0,8,4,4,7,7,1,2,1,12,2,4,8,4,5,20,12,10,3,4,7,7,4,8,10,14,2,6,5,7,5,13,2,1,3,1,5,9,13,2,3,3,2,3,9,11,7,2,3,2,2,23,5,6,8,17,9,5,2,6,4,5,5,9,13,3,22,17,6,4,9,2,3,9,5,1,6,3,16,7,6,7,10,5,7,7,11,13,14,12,7,8,8,11,4,3,7,7,6,7,3,8,1,5,5,15,4,2,1,5,6
6,5,3,1,3,4,5,13,0,11,8,1,3,5,2,7,5,3,1,1,10,10,3,10,6,0,5,10,9,19,5,7,5,4,3,12,4,7,3,4,7,4,6,7,7,1,1,2,11,0,3,6,4,7,19,9,6,3,3,5,3,6,8,10,12,2,4,6,4,3,13,1,1,2,2,6,10,7,4,2,3,2,4,12,8,9,1,3,1,3,21,3,6,6,17,7,7,3,4,3,6,6,9,17,2,22,20,6,6,5,2,2,9,3,0,6,4,18,5,9,6,10,6,9,5,13,12,15,9,5,7,12,10,3,4,8,6,4,7,2,6,1,5,5,14,4,3,2,5,5
7,6,2,1,4,2,3,11,1,13,7,2,3,3,2,6,5,2,2,2,11,13,4,13,5,1,4,10,9,25,9,6,4,6,4,15,3,6,5,2,6,4,2,7,8,2,1,2,10,1,5,7,4,6,19,14,6,3,4,4,7,6,9,6,11,3,3,6,3,4,12,2,2,1,3,3,12,7,2,2,4,2,3,11,11,9,2,2,1,4,31,5,5,8,23,8,6,5,6,2,7,6,7,20,3,24,20,4,6,6,2,2,9,6,0,5,5,17,4,8,7,11,3,10,3,11,14,12,10,9,11,7,16,2,4,7,4,5,9,2,9,0,6,6,15,4,4,1,6,6
6,6,3,2,5,3,3,13,1,9,13,1,4,6,1,8,6,3,1,1,15,13,4,11,6,1,3,9,10,29,7,5,5,9,2,12,4,7,4,3,8,6,4,6,7,1,1,2,14,1,5,9,4,6,22,15,7,2,5,4,7,7,12,7,12,3,8,7,5,6,12,3,2,3,3,3,14,7,3,3,2,4,3,15,8,7,2,5,3,3,35,4,7,8,22,11,2,3,7,3,5,6,9,20,2,23,22,6,4,12,1,2,7,7,1,4,5,23,7,7,7,14,3,10,5,12,15,15,13,9,9,10,16,4,3,8,4,3,8,4,9,1,7,5,11,5,4,3,7,6
6,5,6,2,5,2,4,18,1,9,10,1,3,4,2,8,5,2,3,4,14,11,4,14,7,2,5,10,12,34,4,8,3,10,2,9,3,6,4,4,8,3,5,7,7,0,1,3,16,1,2,8,6,7,23,16,6,5,4,6,7,6,8,10,18,2,6,6,5,5,11,1,2,3,3,7,15,9,3,4,4,5,3,14,10,7,1,4,1,4,21,4,4,9,19,12,2,4,9,4,5,9,10,21,4,29,22,6,4,8,1,3,10,11,1,6,8,24,6,7,7,13,4,12,4,13,16,20,15,10,7,10,14,5,3,12,6,5,9,5,12,3,5,8,11,7,4,2,8,9
6,3,3,1,6,2,5,15,1,6,9,1,3,3,1,6,2,4,3,3,13,13,3,15,9,1,4,10,10,28,6,5,4,8,2,11,3,6,3,2,10,7,6,7,5,1,1,3,12,2,4,10,5,7,23,14,8,1,3,9,9,6,8,11,12,5,9,2,8,7,12,2,2,3,3,7,15,13,7,4,3,3,5,12,9,7,1,3,2,5,18,5,3,12,18,10,3,5,6,4,4,8,9,19,4,31,23,7,3,7,2,4,11,10,3,6,6,22,9,8,6,10,3,10,6,11,17,16,17,11,9,12,23,2,3,8,8,2,9,6,11,2,2,7,7,6,5,4,10,7
5,2,2,1,9,3,3,16,0,5,9,1,3,5,1,5,1,2,1,1,11,11,3,10,5,1,4,11,9,24,4,6,4,6,3,9,2,6,4,2,8,6,5,6,7,0,3,3,12,3,5,7,4,8,19,11,7,4,2,7,5,6,9,9,12,2,6,5,7,6,12,1,4,3,2,6,9,8,3,3,3,4,3,8,11,4,2,3,2,3,8,4,5,8,16,10,2,4,5,4,6,7,8,14,4,24,20,7,5,9,2,5,12,13,2,5,4,23,5,9,7,10,3,8,6,10,20,14,19,9,10,10,15,6,3,8,7,4,6,4,8,2,4,6,7,4,5,3,6,11
6,2,3,1,5,2,4,11,0,7,6,1,3,4,1,9,2,3,1,2,11,10,3,10,8,0,2,10,9,22,4,4,6,5,2,11,2,5,4,2,10,6,4,6,5,0,5,3,11,5,4,7,3,4,19,11,6,4,3,6,3,6,9,9,11,2,6,3,6,7,13,3,3,4,2,5,12,8,4,2,4,4,6,9,9,6,3,4,1,4,7,4,4,7,15,11,2,4,6,3,5,7,8,13,4,24,18,6,5,8,2,2,10,12,1,5,4,20,4,9,5,10,5,11,6,11,16,14,20,10,8,13,13,5,4,8,7,4,6,4,7,2,3,5,7,8,7,2,8,9
6,4,4,2,6,3,5,8,1,5,5,1,4,6,2,7,2,4,1,2,8,9,3,6,7,1,3,8,6,26,3,5,4,6,3,7,2,5,4,1,7,6,5,8,2,1,4,2,9,4,4,8,3,4,20,11,6,3,4,4,3,5,10,4,9,1,5,4,7,9,13,3,3,2,2,5,13,6,5,4,4,5,5,8,7,5,2,5,1,3,6,4,5,9,15,7,2,3,5,4,5,8,7,11,6,18,15,5,4,6,2,2,9,15,1,7,4,17,7,9,4,12,6,13,3,7,16,14,19,7,6,9,7,3,3,7,7,6,5,4,7,2,4,7,6,6,5,1,7,5
5,2,3,1,3,2,4,9,1,5,5,3,4,4,2,3,2,6,0,1,9,8,3,4,6,1,3,11,5,18,3,4,4,2,4,5,4,4,6,1,8,5,5,6,3,0,3,2,8,4,4,7,4,2,17,7,3,4,2,1,3,6,7,4,7,1,3,3,7,9,15,2,3,3,2,4,10,6,4,2,3,2,6,7,5,3,3,3,1,5,6,4,5,7,14,7,3,4,4,4,6,7,6,9,4,12,10,5,4,4,1,3,12,13,2,4,4,11,6,4,5,10,5,12,4,5,16,9,15,7,6,6,11,2,5,4,4,5,7,4,5,1,4,6,5,6,5,1,6,6
3,2,2,1,3,2,4,6,1,3,3,0,3,2,0,4,0,2,0,0,2,3,1,3,4,1,3,10,3,11,2,1,3,3,2,2,4,4,4,1,4,6,3,4,3,1,2,2,6,1,4,5,3,2,11,3,2,3,1,2,2,3,3,4,6,1,2,3,3,12,12,1,2,4,3,2,8,3,3,3,3,3,5,3,3,3,2,3,1,2,4,2,3,7,13,3,2,3,2,3,3,4,3,5,2,7,4,4,5,3,2,1,13,10,2,5,4,7,5,3,7,10,5,8,3,4,15,7,13,4,4,5,6,3,3,5,3,4,4,4,5,2,2,5,6,4,4,2,4,3
4,1,2,1,3,0,2,5,0,2,3,0,3,3,1,1,1,1,0,1,1,1,1,2,4,1,3,7,1,6,2,2,2,2,2,4,1,5,6,2,3,5,3,4,3,1,1,2,2,2,3,2,2,2,11,2,2,1,0,2,3,2,3,5,6,2,2,1,3,9,7,1,2,2,1,1,5,3,5,3,3,2,5,1,3,2,1,3,1,3,3,1,3,7,9,4,1,4,3,2,2,2,3,3,2,4,2,3,3,3,1,1,7,5,1,4,3,7,4,3,6,7,4,9,2,3,10,6,12,4,2,3,2,3,3,3,3,5,2,3,2,0,2,4,6,2,4,2,2,2
2,3,2,1,1,1,1,4,0,0,2,0,2,2,1,1,0,0,0,1,1,1,1,2,2,0,2,5,1,4,0,1,1,1,2,3,1,3,2,0,1,2,3,2,1,2,1,1,2,1,3,1,2,1,5,3,2,2,0,1,1,1,2,2,2,0,1,1,3,6,6,1,1,1,1,1,3,3,2,1,2,3,2,1,1,1,0,2,1,2,2,1,2,6,6,2,0,2,2,1,1,1,2,2,1,2,1,2,2,0,0,1,5,4,0,2,3,3,2,1,4,4,1,6,3,4,5,3,9,3,1,1,2,0,2,2,1,3,1,1,2,0,1,2,2,1,2,1,3,1
1,1,0,0,1,0,1,2,0,0,1,0,2,3,2,0,0,0,0,0,1,2,1,2,2,0,2,4,0,4,0,0,0,1,1,3,2,1,1,0,2,1,2,2,0,0,1,0,1,1,2,1,1,1,3,1,2,1,0,0,0,0,2,1,2,0,1,1,1,3,3,1,0,0,0,0,2,1,1,1,1,0,2,1,1,1,1,1,1,2,0,1,1,2,4,0,0,1,0,1,2,1,2,1,1,3,1,1,2,1,2,1,5,3,0,2,1,2,2,0,2,3,1,4,1,1,4,3,8,1,0,1,0,0,1,2,0,2,1,1,1,0,1,2,2,1,2,0,2,1
2,2,1,0,3,1,4,5,0,1,2,1,1,3,1,2,1,2,0,1,1,1,1,2,4,1,2,7,0,8,1,2,2,2,2,2,3,5,4,0,3,3,3,3,3,0,1,2,2,2,3,2,2,2,7,3,2,3,1,2,3,2,3,4,4,0,2,1,4,9,9,1,2,3,2,1,5,2,4,2,3,2,5,2,3,2,2,3,1,2,3,2,2,7,8,3,1,3,2,2,3,3,2,3,2,4,2,3,3,2,1,1,7,10,2,4,4,5,5,3,6,7,3,10,2,3,12,3,12,3,2,3,2,2,2,3,4,3,2,3,2,0,2,4,4,2,3,1,2,2
2,2,1,0,1,1,2,4,0,0,3,0,1,2,1,1,1,1,0,0,1,0,1,2,2,0,2,3,0,3,0,1,2,2,2,3,1,3,2,1,1,3,3,2,3,0,1,1,1,2,3,1,0,1,8,1,2,1,0,2,2,2,1,4,4,1,1,1,3,6,6,1,2,1,0,1,2,2,2,1,2,0,2,1,2,0,1,1,1,1,2,1,1,3,7,2,0,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,5,6,1,2,3,3,2,1,5,5,2,6,3,0,7,1,9,2,1,1,3,0,1,2,2,3,2,1,1,0,2,4,1,1,2,0,1,1
1,1,1,0,0,0,3,2,0,0,2,0,0,2,0,0,1,0,0,0,1,1,0,1,2,0,2,3,0,4,0,0,0,2,0,1,2,2,1,0,2,1,2,1,2,0,1,0,1,2,2,1,0,1,6,1,1,0,0,0,2,1,1,1,1,0,1,1,1,3,3,0,1,0,1,0,2,1,1,1,1,0,2,0,2,0,1,1,0,1,0,1,0,2,4,1,0,0,1,1,2,2,0,2,1,1,1,2,1,2,0,1,5,4,0,1,1,4,1,1,2,3,2,4,1,0,6,2,8,2,0,1,1,0,0,0,1,2,1,1,0,0,0,2,2,0,2,0,1,0
1,1,0,1,1,1,1,2,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,1,2,0,1,1,0,2,0,0,0,0,0,0,1,1,1,1,1,1,2,1,2,2,1,0,1,0,1,0,0,1,3,1,1,0,1,0,1,1,2,0,1,0,1,0,1,4,2,0,0,1,0,0,1,0,0,0,2,0,1,0,1,0,2,0,0,0,0,1,0,3,3,1,0,1,0,1,0,2,0,0,0,0,1,2,0,1,1,1,4,4,0,1,0,1,2,1,1,3,1,3,1,1,5,2,6,1,1,1,0,0,1,1,0,2,1,2,1,0,0,3,1,0,1,0,1,0
1,0,0,1,0,0,0,1,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,0,1,1,0,2,0,2,1,1,0,2,0,1,1,1,0,1,0,1,1,1,1,0,2,0,1,0,1,1,0,0,3,2,1,1,0,0,0,2,1,0,2,0,1,0,1,3,3,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2,1,1,0,1,1,0,2,1,1,2,1,0,1,0,2,1,0,1,0,1,1,1,0,1,1,2,3,0,0,0,2,0,0,2,2,0,3,1,1,4,0,6,0,1,0,0,0,0,1,1,1,0,2,0,0,0,2,2,1,1,0,1,0
1,0,0,1,0,1,1,2,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,2,0,0,2,0,3,0,1,0,1,0,0,1,1,0,0,0,0,1,1,2,0,1,0,0,0,1,1,0,1,3,1,1,1,0,0,1,3,1,0,3,0,1,1,1,3,3,1,1,3,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,2,1,0,3,2,2,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,3,4,1,1,1,4,2,0,2,3,1,4,0,1,5,1,3,1,1,0,1,1,1,1,1,2,1,2,0,0,0,2,3,2,2,1,1,1
1,1,2,2,1,2,0,2,0,1,3,1,1,1,2,1,1,0,1,0,2,1,1,3,5,0,0,4,1,7,0,1,2,2,1,4,1,3,1,1,2,2,1,1,2,0,1,1,3,1,0,1,1,1,8,1,1,1,2,1,3,4,2,0,7,0,3,1,3,3,6,0,1,1,1,2,4,3,1,1,3,2,1,5,2,0,2,2,1,2,7,1,0,6,5,5,0,2,3,0,0,2,2,3,1,8,3,2,2,1,1,2,6,5,0,2,2,8,4,2,4,6,2,5,0,6,10,7,8,3,2,2,6,1,2,2,2,2,3,2,3,2,4,5,6,2,2,2,1,2
6,7,1,1,1,3,4,4,1,4,17,3,4,6,17,6,6,0,0,1,5,3,4,24,8,0,2,3,4,22,6,6,3,3,1,10,3,4,1,2,6,5,4,3,8,0,2,2,8,1,3,6,3,1,30,10,2,1,4,4,11,5,9,3,17,3,12,4,8,6,10,1,1,2,2,1,16,5,2,2,3,3,4,21,6,4,5,3,1,5,24,6,3,13,13,13,6,2,8,2,2,5,2,15,1,30,10,5,3,6,1,2,9,6,0,3,3,32,11,8,9,10,5,9,4,17,8,33,9,7,7,3,13,7,3,7,6,3,7,4,5,2,6,7,11,4,3,3,3,5
9,12,2,2,2,3,6,8,0,9,20,3,7,7,20,19,8,2,1,3,9,5,6,30,10,2,7,9,4,40,7,10,3,4,2,17,5,3,2,7,11,5,4,8,16,1,2,2,10,0,4,7,6,6,37,19,3,2,6,7,10,7,16,4,20,3,13,4,10,6,12,4,2,2,4,3,19,5,4,7,3,2,1,25,8,5,4,4,1,3,25,6,6,15,13,20,10,3,15,4,4,4,4,26,4,41,20,9,4,9,2,3,6,5,1,4,4,32,10,7,9,12,5,9,9,22,10,29,11,9,9,6,14,8,4,12,6,4,8,4,7,1,8,8,13,5,4,2,6,14
12,11,2,1,4,2,6,7,0,12,12,3,8,9,23,17,10,3,2,2,8,5,5,14,4,1,6,10,4,27,9,9,4,7,2,28,4,7,1,6,11,6,4,8,23,0,2,2,11,1,2,9,4,6,24,13,4,4,7,5,8,5,17,7,19,1,11,6,10,6,14,4,2,2,3,6,17,8,5,6,2,2,2,17,9,7,4,5,0,2,21,3,5,15,14,15,15,3,7,3,5,5,6,17,2,29,20,7,4,10,3,3,8,6,1,5,3,20,9,8,9,7,4,11,7,14,7,17,8,7,12,6,14,7,4,7,4,4,6,4,4,1,8,7,14,3,3,1,6,15
11,11,2,0,5,4,5,16,0,16,11,1,7,10,24,13,12,3,1,1,9,8,4,12,6,1,6,12,5,25,10,10,5,6,4,27,5,6,3,6,9,7,6,9,23,1,1,2,11,0,4,11,3,7,24,14,4,2,10,7,4,8,12,13,22,3,12,6,9,3,10,4,3,3,4,5,18,7,3,6,1,2,3,12,11,4,2,3,1,2,16,3,6,13,17,8,16,3,7,1,4,5,7,26,3,19,21,6,4,9,3,3,8,7,1,4,5,17,6,7,4,9,4,7,6,12,9,15,7,8,9,8,13,4,6,8,4,4,7,4,9,2,7,7,14,3,2,1,8,10
12,15,2,0,4,3,7,20,1,12,11,1,8,13,21,16,17,3,3,1,12,10,5,7,3,2,5,10,7,25,12,13,4,4,2,23,5,9,3,6,7,4,5,11,18,0,0,3,10,1,3,11,3,9,23,12,4,2,11,8,7,7,17,14,17,3,11,5,8,5,10,1,2,3,3,4,18,5,4,7,2,2,2,10,10,3,3,4,1,2,17,2,5,12,19,13,10,2,6,2,5,6,7,28,3,21,21,6,4,9,6,2,6,7,1,4,4,15,7,6,6,7,4,6,7,14,13,17,9,8,12,7,10,4,4,8,4,5,7,4,5,1,8,6,14,4,2,3,4,10
